Dates,Twice vaccinated share of the population
2022-01-03,78.52421680204176
2022-01-04,78.52916448948547
2022-01-05,78.53719007122467
2022-01-06,78.54544069141286
2022-01-07,78.5648682212349
2022-01-08,78.59568822383667
2022-01-09,78.60684539325568
2022-01-10,78.60864885928207
2022-01-11,78.62028926916
2022-01-12,78.63093161377638
2022-01-13,78.63947202031821
2022-01-14,78.65519075857895
2022-01-15,78.67979101429368
2022-01-16,78.6900456610909
2022-01-17,78.69779882786553
2022-01-18,78.70356376020298
2022-01-19,78.70753470181715
2022-01-20,78.71032517858478
2022-01-21,78.71486147995154
2022-01-22,78.72004289153877
2022-01-23,78.72251752486922
2022-01-24,78.72433125580733
2022-01-25,78.72747389800743
2022-01-26,78.73185701530716
2022-01-27,78.73667441733302
2022-01-28,78.7483527284234
2022-01-29,78.76834088034647
2022-01-30,78.77665151078773
2022-01-31,78.77860579205539
2022-02-01,78.78316341285415
2022-02-02,78.787420192779
2022-02-03,78.79161301440779
2022-02-04,78.79995996684434
2022-02-05,78.81323012885821
2022-02-06,78.81870527484203
2022-02-07,78.82271174884288
