Dates,Food,Housing,"Fuel, light, and water charges",Furniture and household utensils,Clothing and footwear,Medical care,Transportation and communication,Education,Culture and recreation,The other household consumption expenditures
2020-03-29,2509.96,558.11,26.25,404.63,340.49,256.44,482.3,17.78,572.42,773.71
2020-03-30,2326.44,61.34,55.84,210.7,231.34,441.1,516.16,26.37,395.01,1023.57
2020-03-31,2207.63,432.11,27.9,329.74,217.08,437.84,1499.27,10.61,535.48,1072.14
2020-04-01,2334.69,53.37,40.73,230.42,173.15,746.74,587.68,34.98,366.39,2944.94
2020-04-02,2334.07,94.83,23.61,340.35,250.38,384.84,951.62,10.65,369.24,1322.76
2020-04-03,2459.22,93.29,21.3,286.85,204.08,415.63,1692.7,24.36,409.81,1221.36
2020-04-04,2788.91,30.6,25.63,417.05,427.57,389.71,424.73,9.41,542.78,920.55
2020-04-05,2837.27,11.69,17.93,481.16,313.77,202.92,701.85,17.2,435.8,1076.35
2020-04-06,2494.34,76,25.67,395.58,268.36,516.07,732.4,13.87,384.6,912.93
2020-04-07,2552.61,121.71,22.58,301.67,304.58,529.98,297.39,30.37,386.8,624.83
2020-04-08,2081.9,59.83,24.9,219.57,141.09,427.84,337.86,44.82,308.33,840.36
2020-04-09,2188.93,309.89,26.77,229.38,153.58,464.72,287.12,24.9,281.03,657.14
2020-04-10,2269.36,217.68,23.25,226.09,197.13,541.82,371.51,21.68,298.4,1172.37
2020-04-11,2751.4,74.78,33.17,360.47,195.07,396.49,1068.67,11.32,535.43,988.16
2020-04-12,2534.18,23.28,21.64,351.6,153.71,167.92,308.31,6.26,379.39,575.84
2020-04-13,1727.07,366.7,25.38,242.25,81.47,419.68,266.64,12.24,210.49,482.93
2020-04-14,2376.49,125.32,27.75,237.87,109.49,553.51,253.11,10.56,221.86,1024.66
2020-04-15,2318.83,357.69,42.2,222.12,160.78,508.24,349.37,16.88,346.02,1327.83
2020-04-16,2507.87,463.02,25.88,283.73,145.28,516.33,394.54,12.8,355.25,1279.94
2020-04-17,2545.11,345.35,49.1,288.53,141.61,490.48,343.25,7.76,425.57,864.96
2020-04-18,2277.25,24.46,20.03,379.16,128,332.21,1133.4,2.4,391.05,516.86
2020-04-19,2805.62,30.21,19.73,356.97,157.17,216.27,506.74,3.3,382.44,551.06
2020-04-20,2238.47,209.72,28.76,294.57,138.68,431.7,1544.45,3.15,328.47,1266.94
2020-04-21,2517.38,220.25,32.75,203.16,138.12,361.17,362.72,4.32,256.24,1224.12
2020-04-22,2257.51,239.89,23.11,281.64,118.99,477.34,220.5,6.11,380.61,896.22
