Dates,Food,Housing,"Fuel, light, and water charges",Furniture and household utensils,Clothing and footwear,Medical care,Transportation and communication,Education,Culture and recreation,The other household consumption expenditures
2020-10-07,2315.44,487.05,13.74,417.93,252.61,455.23,660.69,5.85,414.01,754.63
2020-10-08,2050.46,260.66,9.25,198.65,257.59,664.94,213.26,2.39,326.72,602.83
2020-10-09,2401.27,639.52,3.85,258.43,245.21,426.03,2438.06,4.88,308.68,776.03
2020-10-10,2899.3,25.15,7.89,461.41,448.93,544.41,530.89,2.53,665.99,888.94
2020-10-11,3185.9,144.18,12.1,532.01,602.87,283.85,658.16,1.29,715.29,857.94
2020-10-12,2167.85,174.43,10.52,321.1,226.07,793.31,408.51,7.75,497.44,794.82
2020-10-13,2295.09,235.11,9.05,326.36,224.26,538.25,255.88,1.51,470.19,437.04
2020-10-14,2179.19,248.17,10.11,926.46,256.97,542.57,446.93,2.93,409.7,952.17
2020-10-15,2265.68,59.87,16.44,298.67,288.02,456.13,421.7,8.31,340.89,1606.68
2020-10-16,2685.63,478.69,28.64,346.82,420.31,661.26,1683.95,4.68,576.6,1471.48
2020-10-17,2892.73,164.82,19.6,646.83,582.87,340.79,401.98,2.07,493.99,705.4
2020-10-18,3305.2,598.08,18.38,866.36,528.13,236.48,445.44,0.73,753.34,818.15
2020-10-19,2149.24,723.31,15.32,353.52,283.23,491.37,592.21,1.7,333.28,586.04
2020-10-20,2477.23,589.62,14.25,345.66,310.85,537.96,280.11,1.6,436.51,1731.12
2020-10-21,2324.82,89.46,13.83,287.5,236.25,388.31,552.49,0.5,461.32,1084.54
2020-10-22,2153.51,65.96,14.95,332.03,263.94,486.02,1200.66,0.02,338.15,764.41
2020-10-23,2374.15,926.91,32.84,281.62,241.13,564,312.91,1.5,376.51,1495.15
2020-10-24,3171.49,165.93,24.86,604.51,609.16,472.63,454.74,2.65,702.11,856.47
2020-10-25,3218.94,55.17,23.45,501.25,517.95,214.11,429.02,0.47,863.38,1113.98
2020-10-26,2283.31,424.69,40.02,261.98,254.84,597.36,422.28,3.17,380.53,1192.92
2020-10-27,2341.78,500.83,14.99,372.97,289.37,515.43,556.09,1.97,460.87,690.45
2020-10-28,2296.61,32.07,18.46,271.32,316.69,540.43,237.64,0.95,385.21,1185.3
2020-10-29,2232.69,346.8,19.92,251.13,231.69,490,691.12,4.45,430.29,763.71
2020-10-30,2479.89,797.18,18.62,438.76,298.79,766.47,1051.54,1.12,376.99,1164.61
2020-10-31,2770.29,779.49,19.82,322.08,447.24,692.1,619.03,1.56,582.72,1046.77
2020-11-01,3304.46,76.85,31.12,718.09,571.3,386.09,503.68,6,794.6,2335.8
2020-11-02,2287.91,592.08,30.63,228.37,241.99,682.99,1251.5,4.92,467.46,1562.32
2020-11-03,2976.25,66.97,20.35,451.63,390.52,178.74,299.27,1.65,504.37,859.15
2020-11-04,2259.26,252.83,40.27,286.47,229.47,516.03,260.72,2.84,370.22,725.64
2020-11-05,2272.17,464.53,17.46,386.66,286.48,555.3,386.54,3.63,489.03,732
2020-11-06,2367.34,708.35,26.3,281.33,282.3,688.39,558.68,1.96,454.6,873.36
2020-11-07,2970.38,60.48,32.67,397.22,426.23,432.27,551.34,2.44,702.8,921.35
2020-11-08,3201.15,71.58,21.34,604.48,455.46,181.96,864.84,0.35,604.34,802.71
2020-11-09,2195.23,209.05,30.85,278.19,262.49,658.67,345.95,0.58,476.23,629.72
2020-11-10,2430.89,471.3,26.59,313.9,334.42,628.98,471.51,1.16,425.26,755.19
2020-11-11,2255.16,678.79,33.86,257.77,278.68,527.48,1160.57,2.15,400.41,829.02
2020-11-12,2248.51,495.07,32.46,305.05,263.87,403.6,376.03,6.24,389.23,638.62
2020-11-13,2414.48,177.64,33.48,241.36,284.62,817.76,408.34,2.18,506.17,948.36
2020-11-14,3081.26,151.38,32.94,545.13,450.49,505.17,1176.56,2.39,666.57,663.16
2020-11-15,3028.13,71.98,37.57,576.51,463.95,216.31,1048.21,3.02,657.41,936.71
2020-11-16,2401.5,307.8,29.81,344.56,299.96,974.24,783.74,4.21,452.46,1573.12
2020-11-17,2382.16,370.4,22.72,227.71,229.47,502.58,284.83,2.39,304.07,567.39
2020-11-18,2276.37,228.98,15.55,305.33,231.96,542.73,330.72,1.49,480,614.55
2020-11-19,2308.23,179.13,17.02,234.56,331.75,621.03,422.79,2.91,326.35,593.83
2020-11-20,2619.45,140.2,17.04,445.73,326.05,812.28,939.52,2.17,520.09,1641.96
2020-11-21,3057.83,97.65,14.2,475.76,451,466.23,1776.02,0.89,822.49,772.61
2020-11-22,3153.93,63.73,19.7,454.46,502.72,279.44,1184.6,6.51,718.59,988.6
2020-11-23,2765.06,327.24,24.36,471.38,348.89,212.89,452.33,2.86,596.57,727.95
2020-11-24,2345.18,569.41,24.42,278.39,208.02,452.45,408.69,2.03,384.17,713.58
2020-11-25,2435.21,588.09,50.75,306.83,307.14,554.39,1297.68,1.09,558.69,2171.49
2020-11-26,2296.93,890.63,34.94,294.04,250.68,438.04,444.26,2.69,361.05,1159.79
2020-11-27,2492.82,357.75,43.05,391.41,351,589.68,504.06,3.24,647.58,1122.96
2020-11-28,3005.12,236.58,36.44,600.83,525.01,382.74,1434.21,1.26,722.54,1039.44
2020-11-29,3172.86,37.23,43.96,491.79,502.85,224.02,555.68,3.64,564.32,729.77
2020-11-30,2244.52,562.01,34.73,353.12,251.66,462.83,1298.17,0.87,425.11,1400.54
2020-12-01,2731.4,208.54,42.28,289.85,312.64,700.58,717.59,6.98,446.76,2268.16
2020-12-02,2306.51,295.2,78.03,444.06,289.54,473.09,703.34,0.49,479.65,1039.33
2020-12-03,2449.78,101.33,36.91,368.61,279.18,399.01,1433.41,1.31,430.58,998.02
2020-12-04,2593.64,155.47,34.16,331.29,264.45,674.98,882.82,2.09,618.59,1159.52
2020-12-05,3309.51,67.4,59.69,517.48,380.12,478.67,538.7,2.35,608.2,1170.75
2020-12-06,3259.16,87.89,32.04,664.48,655.34,226.8,418.39,4.08,670.08,1029.2
2020-12-07,2358.73,238.37,48.31,360.97,228.92,552.15,337.06,2.4,389.38,1279.4
2020-12-08,2575.64,431.8,33.59,316.95,212.34,508.75,545.83,1.27,372.57,637.02
2020-12-09,2385.05,145.62,47.91,396.23,298.91,403.95,406.67,1.01,359.67,710.5
2020-12-10,2512.3,111.25,34.76,707.28,263.38,504.79,810.23,5.62,441.76,1961.35
2020-12-11,2546.82,143.52,42.54,442.62,347.26,564.19,489.53,0.35,565.53,1208.2
2020-12-12,3207.42,607.34,48.25,494,581.16,391.88,595.6,0.64,774.26,993.03
2020-12-13,3175.08,41.24,56.3,646.79,580.99,261.02,571.11,2.25,835.84,838.03
2020-12-14,2211.66,122.88,44.42,389.32,288.73,569.91,338.71,1.55,435.57,699.32
2020-12-15,2692.22,426.69,63.04,373.56,321.02,786.34,1071.47,3.41,530.75,1953.93
2020-12-16,2611.39,851.15,104.75,502.13,318.25,846.29,812.3,1.19,494.3,1615.72
2020-12-17,2420.35,181.33,75.91,364.32,315.44,665.57,378.06,1.39,532.78,1245.52
2020-12-18,2842.98,460.87,64.32,419.71,366.52,578.87,679.49,1.6,494.93,1448.67
2020-12-19,3288.65,115.04,68.23,799.49,589.29,542.61,572.83,1.57,953.62,1034.44
2020-12-20,3562.55,110.44,85.3,653.6,657.22,277.27,862.95,3.26,997.92,1189.89
2020-12-21,2561.43,384.49,77.96,426.46,277.17,565.72,434.44,2.72,535.8,1593.56
2020-12-22,2745.09,1170.76,85.3,397.88,273.09,551.88,907.98,10,670.74,902.44
2020-12-23,2864.2,1295.8,77.36,451.8,270.86,447.03,565.55,0.87,728.76,996.91
2020-12-24,3618.1,540.75,62.7,421.95,321.58,455.26,973.68,0.63,528.15,991.75
2020-12-25,3516.29,75.2,72.29,393.57,334.54,545.96,719.99,3.28,645.92,3176.83
2020-12-26,3590.37,247.29,103.51,675.65,448.78,543.06,723.6,6.17,745.42,1003.38
2020-12-27,4039.29,82.72,77.51,571.72,485.96,253.08,478.3,3.1,898.33,957.23
2020-12-28,3837.09,314.17,82.67,406.15,284.81,486.91,702.38,7.9,801.82,1453.79
2020-12-29,4845.57,582.27,82.41,594.03,349.75,367.22,421.82,1.39,795.12,1732.66
2020-12-30,5607.67,63.5,103.75,494.83,341.02,232.79,355.9,3.15,794.21,1267
2020-12-31,5649.11,34.41,49.94,296.11,217.18,133.2,202.3,0.19,472.63,1436.12
2021-01-01,1390.23,9.38,5.82,304.85,319.01,63.48,143.57,0.51,605.49,7146.09
2021-01-02,2196.08,16.75,23.13,546.51,542.6,105.77,278.03,3.2,749.68,2036.5
2021-01-03,2273.55,52.51,21.3,350.18,512.26,117.17,594.05,9.4,716.11,1661.36
2021-01-04,2258.54,23.44,61.67,488.45,390.38,502.96,1021.9,1.76,574.79,1365.37
2021-01-05,2436.17,218.19,77.48,310.49,265.48,521.23,249.15,0.64,366.75,1041.79
2021-01-06,2319.46,196.06,80.71,432.49,338.43,451.53,396.54,0.64,269,750.22
2021-01-07,1996.31,244.77,58.1,269.37,217.05,356.56,452.75,1.04,248.13,629.45
2021-01-08,2015.53,68.08,66.69,323.43,209.95,539.93,280.34,2.35,354.12,798.74
2021-01-09,2581.65,60.25,99.19,373.87,301.51,331.42,355.08,3.01,424.58,669.97
2021-01-10,2850.74,83.97,70.81,486.1,460.83,204.75,402.48,0.8,669.76,1162.65
2021-01-11,2497.54,59.6,96.25,438.04,377.87,211.91,362.5,1.58,374.08,681.27
2021-01-12,2111.54,44.52,61.01,286.77,246.96,564.35,383.1,6.38,277.15,823.04
2021-01-13,2072.91,70.42,76.89,283.91,193.76,511.96,270.3,0.69,248.99,642.98
2021-01-14,2031.17,96.54,47.78,253.64,223.51,432.96,753.68,0.74,353.59,565.56
2021-01-15,2283.89,53.7,69.71,345.39,267.84,675.32,501.17,0.87,314.15,1162.85
2021-01-16,2899.45,52.75,102.42,402.84,291.14,431.65,568.53,2.88,552.89,1244.09
2021-01-17,2896.07,25.78,61.07,514,326.34,199.94,700.54,1.47,423.93,774.59
2021-01-18,2089.13,912.29,60.38,269.57,311.47,658.01,311.49,5.13,312.6,1445.09
2021-01-19,2243.27,250.58,90.23,246.09,174.42,456.08,459.9,3.06,345.72,720.42
2021-01-20,2357.14,237.85,79.44,258.62,204.38,612.07,310.79,0.97,266.02,1128.32
2021-01-21,2149.63,184.37,67.46,243.97,210.56,506.79,284.44,14.06,238.26,1011.65
2021-01-22,2273.02,516.49,69.4,281,175.22,581.93,265.38,1.54,267.35,1020.22
2021-01-23,2865.14,41.08,77.36,400.48,321.71,440.94,395.6,1.64,447.41,597.03
2021-01-24,2654.9,82.9,61.87,391.84,314.15,204.73,1148.43,5.16,390.44,808.71
2021-01-25,2417.47,491.77,78.35,452.12,212.49,588.66,862.23,3.62,351.19,1985.16
2021-01-26,2359.21,805.04,93.18,231.92,176.48,574.04,982.18,3.82,301.22,1240.86
2021-01-27,2162.58,34.9,66.21,294.08,177.35,406.39,792.54,4.48,334.95,806.59
2021-01-28,2171.17,17.37,51.75,215.24,177.68,514.15,528.47,1.49,260.44,825.53
2021-01-29,2345.2,103.29,70.97,275.7,152.62,431.62,849.8,10.86,459.92,960.07
2021-01-30,3024,56.24,63.39,486.5,294.87,390.07,509.07,5.72,403.32,1113.46
2021-01-31,2732.45,49.8,80.06,419.57,303.8,200.45,435.78,2.33,391.31,810.18
2021-02-01,2322.8,259.5,57.58,477.55,187.09,788,599.63,1.98,348.74,1855.12
2021-02-02,3072.47,337.8,38.19,270.86,140.83,514.11,338.13,8.64,275.2,598.41
2021-02-03,2063.51,515.49,81.75,227.48,177.9,477.9,352.92,4.97,264.03,790.83
2021-02-04,2068.03,87.19,57.96,204.16,188.29,395.23,539.63,2.22,288.47,566.03
2021-02-05,2440.45,51.93,86.96,338.37,210.49,569.26,582.03,2.17,353.57,871.56
2021-02-06,3008.1,58.78,63.15,400.71,325.66,411.66,507.12,2.17,564.05,642.86
2021-02-07,3034.98,48.96,49.85,578.55,419.93,203.88,346.88,1.55,470.36,825.41
2021-02-08,2150.36,724.08,46.11,219.71,188.53,468.67,428.79,2.77,296.37,466.56
2021-02-09,2339.26,75.45,69.01,236.69,175.67,462.72,323.64,12.49,294.48,538.98
2021-02-10,2415.04,48.74,80.62,297.96,201.81,513.25,911,4.45,599.05,1025.76
2021-02-11,2664.75,77.12,61.15,419.92,340.3,201.49,407.87,2.07,731.58,641.58
2021-02-12,2453.64,281.09,52.18,294.32,171.76,523.31,348.52,7.01,368.17,744.8
2021-02-13,2873.1,37.32,53.61,278.37,332.35,424.83,365.84,0.91,422.79,625.18
2021-02-14,2930.38,17.22,36.25,442.1,236.77,184.01,398.72,3.44,454.67,612.85
2021-02-15,1903.15,298.78,42.82,267.22,185.67,496.99,372.49,9.67,309.82,1299.86
2021-02-16,2560.41,253.83,63.56,307.74,203.87,628.31,792.1,1.18,409.86,1633.1
2021-02-17,2123.68,165.41,53.89,232.31,154.08,548.17,1268.05,2.8,290.65,765.86
2021-02-18,2130.34,229.42,53.72,228.13,153.53,404.6,309.22,0.79,266.61,1051.68
2021-02-19,2420.86,276.71,53.61,222.44,174.31,653.05,355.43,0.68,287.89,1405.21
2021-02-20,3140.97,41.77,72.54,403.14,361.77,490.79,1998.45,6.44,687.15,818.76
2021-02-21,2968.46,52.82,44.09,495.64,345.13,271.05,660.1,2.22,552.11,762.23
2021-02-22,2242.79,310.93,48.82,238.64,183.16,542.73,1315.53,20.22,362.19,1583.32
2021-02-23,2653.2,96.72,32.53,405.65,360.46,200.88,424.45,2.61,512.91,631.34
2021-02-24,2183.35,767.71,71.9,255.95,191.09,485.94,1592.56,25.79,304.29,933.06
2021-02-25,2420.26,359.99,62.88,262.63,169.68,609.69,392.74,4.82,303.16,1983.18
2021-02-26,2371.03,241.68,80.5,342.27,293.06,750.89,766.96,1.61,333.58,1478.33
2021-02-27,3035.15,160.82,86.37,407.8,370.4,581.38,543.49,3.01,518.8,1032.67
2021-02-28,2973.45,54.62,56.78,422.75,442.55,227.64,561.09,5.82,605.42,1390.93
2021-03-01,2495.89,156.4,91.93,330.54,208.54,726.05,782.55,4.98,446.62,3247.13
2021-03-02,2044.05,74.06,29.93,225.65,139.92,536.84,472.97,7.32,261.4,880.65
2021-03-03,2744.96,455.79,49.16,219.01,265.75,422.57,1076.64,2.01,359.7,860.33
2021-03-04,2104.22,404.75,98.61,259.13,287.85,439.27,291.48,7.18,367.2,879.71
2021-03-05,2370.07,410.52,56.72,261.85,241.98,439.4,432.82,0.51,424.81,1241.54
2021-03-06,2981.94,231.36,41.44,319.81,443.58,457.17,1639.2,11.58,737.13,1053.7
2021-03-07,3110.38,17.99,38.83,514.98,501.48,335.72,1483.27,3.64,661.3,815.6
2021-03-08,2069.06,260.36,28.14,286.65,223.25,481.75,913.79,17.53,442.07,1391.55
2021-03-09,2432.58,130.11,42.65,284.73,261.65,492.08,296.94,4.3,404.95,854.18
2021-03-10,2414.49,239.27,68.77,360.91,302.88,507.01,1727.1,4.82,613.62,1822.29
2021-03-11,2240.82,66.27,31.04,340.68,273.76,472.63,497.48,2.49,495.08,1071.5
2021-03-12,2398.26,779.42,33.43,300.14,257.32,507.9,680.07,16.23,495.13,1376.79
2021-03-13,2736.11,80.79,48.78,434.86,453.19,384.74,408.14,7.4,739.04,906.36
2021-03-14,3137.02,24.05,38.91,615.44,583.24,188.04,640.4,10.28,685.78,952.92
2021-03-15,2204.01,141.89,39.28,445.24,248.08,598.16,653.14,18.92,384.17,1716.1
2021-03-16,2432.1,345.63,32.28,312.21,240.32,545.11,766.65,50.91,745.92,1639.66
2021-03-17,2313.8,79.81,28.39,243.14,385.2,666.45,396.4,29.04,520.42,789.3
2021-03-18,2339.86,310.18,35.98,312.23,326.26,880.46,440.67,46.16,455.47,1162.35
2021-03-19,2608.7,186.39,30.77,306.81,330.26,540.85,574.94,44.02,559.23,1424.08
2021-03-20,3448.4,655.37,23.49,592.93,563.84,337.19,1229.47,53.47,840.27,1603.43
2021-03-21,2533.16,19.73,15.05,433.11,437.75,165.74,438.08,19.27,537.77,1670.52
2021-03-22,2265.38,919.7,32.07,346.18,260.6,444.26,454.82,33.89,668.25,1401.55
2021-03-23,2418.56,759.77,31.09,281.09,256.55,439,338.01,88.33,487.71,1360.47
2021-03-24,2314.44,58.46,52.1,308.53,292.14,450.56,365.83,45.95,650.82,694.61
2021-03-25,2397.77,465.58,39.42,493.09,318.91,477.14,488.54,31.78,461.15,2250.63
2021-03-26,2551.53,683.63,50.24,273.81,309.17,540,812.07,37.93,648.25,1474.35
2021-03-27,3207.27,199.81,28.84,625.49,503.66,550.66,1275.09,11.16,620.69,1073.85
2021-03-28,2882.82,233.95,23.95,478.96,512.67,244.7,810.46,20.58,696.37,1534.48
2021-03-29,2326.79,901.14,35.51,437.06,271.67,484.23,482.01,15.84,605.2,1501.19
2021-03-30,2464.24,268.9,21.53,315.09,356.19,563.82,1358,41.54,485.75,958.44
2021-03-31,2248.28,322.19,15.71,285.61,315.74,569.01,556.8,14.38,863.37,971.45
2021-04-01,2479.28,361.66,13.69,570.03,350.3,448.36,1464.35,92.47,521.79,2428.7
2021-04-02,2311.65,199.75,32.3,445.64,412.92,504.22,1834.56,49.99,472.36,1809.38
2021-04-03,3158.37,45.94,13.42,617.73,490.78,530.79,947.4,22.92,696.44,1241.21
2021-04-04,2916.93,72.6,8.83,486.85,749.68,230.98,531.01,10.67,864.62,1151.99
2021-04-05,2214.01,69.8,11.2,270.79,338.24,552.71,601.32,53.06,398.73,2522.86
2021-04-06,2381.64,135.81,37.72,262.36,304.5,511.39,297.62,39.39,432.68,1272.05
2021-04-07,2207.34,91.65,33.35,240.67,288.95,473.33,437.83,79.09,408.82,1022.39
2021-04-08,2136.66,249.55,17.78,235.48,247.05,484.7,414.77,34.19,386,571.34
2021-04-09,2368.27,196.05,16.33,350.78,279.17,486.5,439.07,20.27,359.07,982.14
2021-04-10,3094.04,51.51,29.95,467.82,406.26,456.22,664.85,8.73,697.02,1062.29
2021-04-11,3015.94,39.58,10.85,391.5,369.95,270.56,1420.1,14.6,573.91,1226.19
2021-04-12,2136.44,80.15,23.05,246.07,205.66,425.02,252.86,17.38,462.43,970.66
2021-04-13,2020.79,591.52,20.02,191.14,169.96,423.33,343.97,12.8,365.16,535.71
2021-04-14,2011.99,216.46,17.27,183.82,197.31,435.14,1454.02,8.72,341.44,846.92
2021-04-15,2377.39,352.28,13.77,382.3,246.9,433.01,1077.23,16.88,352.08,1833.92
2021-04-16,2446.39,420.92,26.71,281.81,266.04,752.8,628.56,37.51,771.5,2566.94
2021-04-17,2898.74,58.01,13.64,384.57,368.09,658.17,1776.62,12.02,637.86,938.61
2021-04-18,3096.08,46.69,28.87,544.78,507.26,205.73,1047.85,11.5,609.22,868.01
2021-04-19,2199.95,744.94,26.47,270.86,251.75,618.61,754.94,7.94,388.32,616.51
2021-04-20,2499.41,820.37,79.57,275.75,223.33,494.12,530.41,5.58,400.95,1390.96
2021-04-21,2228.11,343.94,7.11,223.84,251.15,500.11,424.03,5.31,386.97,1157.26
2021-04-22,2168.83,634.97,9.09,255.54,242.19,430.26,429.92,5.24,379.11,1350.4
2021-04-23,2432.94,551.04,20.72,342.3,281.27,455.04,842.83,2.29,553.68,1736.26
2021-04-24,2995.15,267.59,37.75,529.11,523.25,453.54,547.79,9.32,750.45,984.69
2021-04-25,3091.79,90.59,13.36,444.39,386.57,213.89,499.64,10.25,717.9,881.7
2021-04-26,2200.57,762.25,36.75,299.72,174.17,630.97,1218.53,3.37,511.79,1904.07
2021-04-27,2371.98,172.12,19.37,243.9,170.52,619.42,326.29,7.77,682.47,929.03
2021-04-28,2204.23,197.01,43.5,227.46,201.65,447.86,441.21,15.07,369.36,1266.6
2021-04-29,2333.6,70.86,10.96,285.14,338.33,174.98,377.11,2.91,411.51,786.98
2021-04-30,2674.96,556.29,18.81,290.5,303.04,454.8,568.77,3.38,684.55,1164.03
2021-05-01,3108.13,78.63,22.27,403.72,358.64,424.34,607.04,2.21,816.97,2384.43
2021-05-02,3151.83,39.22,15.01,363.53,342.86,170.61,490.17,3.84,671.61,934.99
2021-05-03,2997.65,35.96,14.46,315.87,345.78,144.21,339.22,3.49,681.89,693.23
2021-05-04,3013.67,26.3,7.81,364.89,324.52,171.43,323.74,4.07,619.09,683.33
2021-05-05,2711.22,64.2,7.05,346.04,305.55,176.17,339.75,3.9,749.3,773.68
2021-05-06,2372.81,568.38,13.79,283.88,210.01,476.45,820.86,7.48,438.2,2052.95
2021-05-07,2216.32,655.73,8.15,334.81,266.92,624.77,466.94,12.22,391.88,1140.97
2021-05-08,2817.87,85.78,11.43,514.12,338.86,501.29,378.41,2.58,593.86,946.38
2021-05-09,2956.07,81.92,8.24,553.78,434.15,167.41,389.9,4.94,547.88,751.56
2021-05-10,2174.73,267.34,19.48,320.02,235.38,606.88,2112.19,12.77,355.09,1824.08
2021-05-11,2285.65,60.03,10.49,333.65,227.47,487.18,288.33,0.61,388.97,834.28
2021-05-12,1993.41,291.28,20.77,378.94,199.63,545.24,286.98,12.2,285.58,695.81
2021-05-13,1931.95,117.42,6.76,199.96,203.92,585.72,266.07,0.92,353.09,578.42
2021-05-14,2312.83,562.91,2.54,511.56,243.12,882.03,594.12,3.1,407,762.93
2021-05-15,2795.4,67.4,10.01,490.92,332.95,439.29,1770.82,1.99,464.37,1003.19
2021-05-16,3022.5,38.95,2.36,549.19,348.07,238.18,613.39,1.23,842.48,1028.78
2021-05-17,2094.37,272.9,10.4,524.83,192.53,611.09,899.61,0.37,417.44,838.7
2021-05-18,2281.57,392.65,12.54,325.3,229.55,605.96,376.53,2.76,340.45,619.46
2021-05-19,2080.19,174.69,7.3,267.71,240.43,626.56,965.39,0.89,303.39,690.24
2021-05-20,2211.67,69.89,7.5,258.69,231.6,405.84,383.95,1.99,506.58,1233.64
2021-05-21,2078.78,296.8,15.94,332.14,214.2,513.79,354.78,1.06,331.44,1398.78
2021-05-22,2989.71,382.19,3.58,492.34,433.05,496.45,829.29,4.24,510.08,872.41
2021-05-23,2932.36,306.92,3.63,557.15,364.11,202.07,2577.91,2.33,581.87,614.93
2021-05-24,2121.37,753.98,17.05,433.18,185.08,489.53,521.94,0.93,359.39,875.13
2021-05-25,2546.91,104.52,9.66,293.19,307.13,914.18,558.44,1.73,412.06,2307.72
2021-05-26,2256.58,168.18,10.32,359.22,207.08,357.38,648.12,1.55,484.65,962.39
2021-05-27,1886.12,648.58,7.63,378.45,194.59,458.64,341.36,0.22,336.76,632.27
2021-05-28,2386.2,301.66,11.45,306.16,306.46,398.38,1066.82,3,371.06,684.55
2021-05-29,2865.97,58.83,9.21,527.99,357.2,537.98,556.65,5.56,534.36,674.23
2021-05-30,3057.7,507.54,5.28,452.11,357.87,303.04,451.95,4.65,480.51,957.86
2021-05-31,2061,423.12,19.73,272.45,209.32,384.03,321.91,0.14,469.23,933.99
2021-06-01,2597.26,311.3,6.97,403.84,228.9,458.43,275.93,1.02,333.04,2497.48
2021-06-02,2270.14,448.13,10.22,343.03,221.64,572.64,356.51,0.74,328.19,780.77
2021-06-03,2251.63,724.93,4.75,231.9,242.47,453.47,274.8,4.78,298.57,614.74
2021-06-04,1893.04,93.1,5.54,219.63,228.42,495.52,252.8,2.06,246.25,898.44
2021-06-05,3291.48,84.8,7.1,534.96,489.7,561.2,947.3,1.89,611.84,911.72
2021-06-06,2915.78,38.95,2.92,530.3,389.51,247.87,380.81,1.14,589.23,850.49
2021-06-07,2229.92,229.02,4.74,308.88,179.1,553.72,1656.49,3.67,257.98,780.93
2021-06-08,2324.05,450.31,2.39,435.4,242.25,454.83,256.95,1.2,533.19,440.97
2021-06-09,2189.21,219.81,4.48,300.28,272.58,398.9,323.2,0.99,343.27,671.32
2021-06-10,2256.5,258.24,5.12,427.36,303.59,837.23,374.68,2.44,454.55,1346.53
2021-06-11,2317.72,379.27,8.17,322.57,456.12,517.79,297.16,3.27,424.26,546.62
2021-06-12,2920.08,413.84,8.57,565.89,443.64,471.49,464.45,0.84,651.79,798.45
2021-06-13,2885.88,147.76,4.34,430.51,495.82,200.82,498.76,1.37,608.04,821.81
2021-06-14,1960.31,238.25,7.92,255.42,224.19,422.49,234.22,1.63,316.35,458.1
2021-06-15,2386.23,124.76,2.73,336.48,259.82,558.75,592.37,4.44,334.74,1465.67
2021-06-16,2277.79,705.02,12.26,677.58,285.85,622.14,524.8,0.87,341.94,1393.88
2021-06-17,2318.43,175.58,8.93,339.36,250.17,568.32,310.51,1.95,300.55,695.53
2021-06-18,2416.12,17.8,3.43,268.57,285.74,491.6,405.8,3.54,291.57,1043.64
2021-06-19,2993.7,113.2,3.66,538.67,462.01,383.05,615.03,3.32,493.26,802.36
2021-06-20,3591.19,31.55,13.84,663.15,476.48,313.9,739.02,1.61,542.38,808.82
2021-06-21,2161.07,410.24,9.13,425.77,256.76,494.53,1111.01,8.17,592.41,1436.82
2021-06-22,2259.16,202.68,7.22,339.27,205.56,588.31,383.86,0.63,435.96,703.36
2021-06-23,2202.34,228.71,8.16,556.06,193.15,481.59,247.09,2.29,386.96,572.94
2021-06-24,2183.65,366.02,2.3,434.33,186.14,392.25,356.01,1.01,278.48,590.58
2021-06-25,2687.26,188.14,7.22,319.68,348.58,490.83,502.1,0.55,474.01,2432.67
2021-06-26,3166.85,107.79,3.07,461.61,338.23,550.25,550.46,7.56,635.46,1210.98
2021-06-27,2965.27,212.84,8.99,567.41,379.34,190.34,433.68,1.46,511.41,1029.87
2021-06-28,2149.54,341.01,11.59,299.5,195.11,587.33,1178.26,1.51,397.87,859.34
2021-06-29,2223.68,354.02,6.56,323.3,254.15,401.47,380.08,12.76,312.41,608.02
2021-06-30,2318.9,211.03,8.98,434.94,232.11,887.86,513.4,1.27,413.83,1214.4
2021-07-01,2291.59,509.42,6.84,272.88,231.19,522.38,559.83,0.65,423.21,2300.76
2021-07-02,2215.64,239.09,1.43,356.71,230.07,532.11,346.1,2.21,321.61,941.71
2021-07-03,3096.86,115.14,2.76,678.87,460.2,461.17,478.68,1.46,657.65,1077.57
2021-07-04,3051.5,16.01,5.87,576.21,409.04,197.17,588.72,7.32,507.08,1353.92
2021-07-05,2216.38,333.74,10.78,385.89,228.1,586.38,889.83,6.35,328.09,1129.16
2021-07-06,2378.71,75.51,2.91,309.22,192.74,418.38,998.08,1.63,306.44,795.11
2021-07-07,2161.26,277.44,6.65,353.51,274.26,465.08,269.44,3.82,374.65,523.39
2021-07-08,2134.88,285.52,2.92,312.91,184.67,342.91,570.58,4.29,229.53,643.48
2021-07-09,2263.47,312.67,3.9,332.3,254.35,577.59,522.01,2.41,401.83,954.34
2021-07-10,3183.78,73.39,4.64,460.67,335.88,392.88,354.76,2.99,574.16,1012.91
2021-07-11,3109.63,131.57,7,432.35,397.87,252.64,697.66,4.45,648.71,764.11
2021-07-12,2210.54,539.45,0.43,534.17,279.49,495.1,668.32,3.55,366.67,727.63
2021-07-13,2334.3,57.74,7.08,295.37,202.49,435.5,298.86,1.9,415.2,715.1
2021-07-14,2062.04,245.84,0.39,396,207.88,509.08,321.1,5.55,321.09,668.25
2021-07-15,2210.38,259.95,2.38,228.85,200.89,466.7,500.66,3.24,397.95,1218.22
2021-07-16,2505.86,548.56,0.77,322.41,272.61,573.49,790.08,1.39,356.58,1532.59
2021-07-17,2990.56,23.82,8.17,555.16,558.54,548.92,464.18,5.22,676.01,848.97
2021-07-18,2989.03,45.99,2.63,548.38,416.87,241.65,476.13,4.86,582.88,690.52
2021-07-19,2271.91,377.47,11.47,459.62,234.42,520.95,1069.31,4.7,354.32,857.34
2021-07-20,2537.59,354.72,5.09,686.11,200.32,565.17,348.52,1.35,327.36,1104.09
